GCF_000005825.2	Bacillus pseudofirmus OF4 (firmicutes)
GCF_000005845.2	Escherichia coli str. K-12 substr. MG1655 (E. coli)
GCF_000006175.1	Methanococcus voltae A3 (euryarchaeotes)
GCF_000006605.1	Corynebacterium jeikeium K411 (high GC Gram+)
GCF_000006685.1	Chlamydia muridarum str. Nigg (agent of mouse pneumonitis)
GCF_000006725.1	Xylella fastidiosa 9a5c (g-proteobacteria)
GCF_000006745.1	Vibrio cholerae O1 biovar El Tor str. N16961 (g-proteobacteria)
GCF_000006765.1	Pseudomonas aeruginosa PAO1 (g-proteobacteria)
GCF_000006785.2	Streptococcus pyogenes M1 GAS (firmicutes)
GCF_000006845.1	Neisseria gonorrhoeae FA 1090 (b-proteobacteria)
GCF_000006865.1	Lactococcus lactis subsp. lactis Il1403 (firmicutes)
GCF_000006905.1	Caulobacter vibrioides CB15 (a-proteobacteria)
GCF_000006925.2	Shigella flexneri 2a str. 301 (enterobacteria)
GCF_000006945.2	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2 (enterobacteria)
GCF_000006965.1	Sinorhizobium meliloti 1021 (a-proteobacteria)
GCF_000006985.1	Chlorobaculum tepidum TLS (green sulfur bacteria)
GCF_000007005.1	Saccharolobus solfataricus P2 (crenarchaeotes)
GCF_000007025.1	Rickettsia conorii str. Malish 7 (a-proteobacteria)
GCF_000007045.1	Streptococcus pneumoniae R6 (firmicutes)
GCF_000007085.1	Caldanaerobacter subterraneus subsp. tengcongensis MB4 (firmicutes)
GCF_000007125.1	Brucella melitensis bv. 1 str. 16M (a-proteobacteria)
GCF_000007145.1	Xanthomonas campestris pv. campestris str. ATCC 33913 (g-proteobacteria)
GCF_000007265.1	Streptococcus agalactiae 2603V/R (firmicutes)
GCF_000007305.1	Pyrococcus furiosus DSM 3638 (euryarchaeotes)
GCF_000007325.1	Fusobacterium nucleatum subsp. nucleatum ATCC 25586 (fusobacteria)
GCF_000007345.1	Methanosarcina acetivorans C2A (euryarchaeotes)
GCF_000007365.1	Buchnera aphidicola str. Sg (Schizaphis graminum) (enterobacteria)
GCF_000007385.1	Xanthomonas oryzae pv. oryzae KACC 10331 (g-proteobacteria)
GCF_000007465.2	Streptococcus mutans UA159 (firmicutes)
GCF_000007485.1	Tropheryma whipplei str. Twist (high GC Gram+)
GCF_000007525.1	Bifidobacterium longum NCC2705 (high GC Gram+)
GCF_000007565.2	Pseudomonas putida KT2440 (g-proteobacteria)
GCF_000007605.1	Chlamydia caviae GPIC (chlamydias)
GCF_000007625.1	Clostridium tetani E88 (firmicutes)
GCF_000007645.1	Staphylococcus epidermidis ATCC 12228 (firmicutes)
GCF_000007705.1	Chromobacterium violaceum ATCC 12472 (b-proteobacteria)
GCF_000007725.1	Buchnera aphidicola str. Bp (Baizongia pistaciae) (enterobacteria)
GCF_000007745.1	[Mannheimia] succiniciproducens MBEL55E (g-proteobacteria)
GCF_000007765.1	Coxiella burnetii RSA 493 (g-proteobacteria)
GCF_000007765.2	Coxiella burnetii RSA 493 (g-proteobacteria)
GCF_000007785.1	Enterococcus faecalis V583 (firmicutes)
GCF_000007805.1	Pseudomonas syringae pv. tomato str. DC3000 (g-proteobacteria)
GCF_000007825.1	Bacillus cereus ATCC 14579 (firmicutes)
GCF_000007845.1	Bacillus anthracis str. Ames (firmicutes)
GCF_000007865.1	Mycobacterium avium subsp. paratuberculosis K-10 (high GC Gram+)
GCF_000007905.1	Helicobacter hepaticus ATCC 51449 (e-proteobacteria)
GCF_000007925.1	Prochlorococcus marinus subsp. marinus str. CCMP1375 (cyanobacteria)
GCF_000007945.1	[Haemophilus] ducreyi 35000HP (g-proteobacteria)
GCF_000007985.2	Geobacter sulfurreducens PCA (d-proteobacteria)
GCF_000008025.1	Wolbachia endosymbiont of Drosophila melanogaster (a-proteobacteria)
GCF_000008045.1	Rickettsia typhi str. Wilmington (a-proteobacteria)
GCF_000008165.1	Bacillus anthracis str. Sterne (firmicutes)
GCF_000008185.1	Treponema denticola ATCC 35405 (spirochetes)
GCF_000008205.1	Mycoplasma hyopneumoniae J (mycoplasmas)
GCF_000008305.1	Mesoplasma florum L1 (mycoplasmas)
GCF_000008325.1	Methylococcus capsulatus str. Bath (g-proteobacteria)
GCF_000008345.1	Cutibacterium acnes KPA171202 (high GC Gram+)
GCF_000008365.1	Mycoplasma mobile 163K (mycoplasmas)
GCF_000008385.1	Wolbachia endosymbiont strain TRS of Brugia malayi (a-proteobacteria)
GCF_000008465.1	Idiomarina loihiensis L2TR (g-proteobacteria)
GCF_000008485.1	Legionella pneumophila subsp. pneumophila str. Philadelphia 1 (g-proteobacteria)
GCF_000008505.1	[Bacillus thuringiensis] serovar konkukian str. 97-27 (firmicutes)
GCF_000008525.1	Helicobacter pylori 26695 (e-proteobacteria)
GCF_000008545.1	Thermotoga maritima MSB8 (thermotogales)
GCF_000008565.1	Deinococcus radiodurans R1 (bacteria)
GCF_000008625.1	Aquifex aeolicus VF5 (aquificales)
GCF_000008645.1	Methanothermobacter thermautotrophicus str. Delta H (euryarchaeotes)
GCF_000008665.1	Archaeoglobus fulgidus DSM 4304 (euryarchaeotes)
GCF_000008685.2	Borreliella burgdorferi B31 (Lyme disease spirochete)
GCF_000008725.1	Chlamydia trachomatis D/UW-3/CX (chlamydias)
GCF_000008745.1	Chlamydia pneumoniae CWL029 (chlamydias)
GCF_000008765.1	Clostridium acetobutylicum ATCC 824 (firmicutes)
GCF_000008805.1	Neisseria meningitidis MC58 (b-proteobacteria)
GCF_000008865.1	Escherichia coli O157:H7 str. Sakai (E. coli)
GCF_000008885.1	Wigglesworthia glossinidia endosymbiont of Glossina brevipalpis (enterobacteria)
GCF_000008925.1	Lactobacillus salivarius UCC118 (firmicutes)
GCF_000008985.1	Francisella tularensis subsp. tularensis SCHU S4 (g-proteobacteria)
GCF_000009045.1	Bacillus subtilis subsp. subtilis str. 168 (firmicutes)
GCF_000009065.1	Yersinia pestis CO92 (enterobacteria)
GCF_000009085.1	Campylobacter jejuni subsp. jejuni NCTC 11168 = ATCC 700819 (e-proteobacteria)
GCF_000009125.1	Ralstonia solanacearum GMI1000 (b-proteobacteria)
GCF_000009145.1	Nitrosomonas europaea ATCC 19718 (b-proteobacteria)
GCF_000009345.1	Yersinia enterocolitica subsp. enterocolitica 8081 (enterobacteria)
GCF_000009365.1	Alcanivorax borkumensis SK2 (g-proteobacteria)
GCF_000009545.1	Streptococcus uberis 0140J (firmicutes)
GCF_000009605.1	Buchnera aphidicola str. APS (Acyrthosiphon pisum) (enterobacteria)
GCF_000009705.1	Nostoc sp. PCC 7120 = FACHB-418 (cyanobacteria)
GCF_000009725.1	Synechocystis sp. PCC 6803 (cyanobacteria)
GCF_000009745.1	Vibrio vulnificus YJ016 (g-proteobacteria)
GCF_000009765.2	Streptomyces avermitilis MA-4680 = NBRC 14893 (high GC Gram+)
GCF_000009825.1	Bacillus clausii KSM-K16 (firmicutes)
GCF_000009845.1	Onion yellows phytoplasma OY-M (mycoplasmas)
GCF_000009865.1	Staphylococcus haemolyticus JCSC1435 (firmicutes)
GCF_000009905.1	Symbiobacterium thermophilum IAM 14863 (firmicutes)
GCF_000009925.1	Bacteroides fragilis YCH46 (CFB group bacteria)
GCF_000009965.1	Thermococcus kodakarensis KOD1 (euryarchaeotes)
GCF_000009985.1	Magnetospirillum magneticum AMB-1 (a-proteobacteria)
GCF_000010065.1	Synechococcus elongatus PCC 6301 (cyanobacteria)
GCF_000010085.1	Sodalis glossinidius str. 'morsitans' (enterobacteria)
GCF_000010125.1	Staphylococcus saprophyticus subsp. saprophyticus ATCC 15305 = NCTC 7292 (firmicutes)
GCF_000010145.1	Lactobacillus fermentum IFO 3956 (firmicutes)
GCF_000010165.1	Brevibacillus brevis NBRC 100599 (firmicutes)
GCF_000010185.1	Finegoldia magna ATCC 29328 (firmicutes)
GCF_000010285.1	Kocuria rhizophila DC2201 (high GC Gram+)
GCF_000010305.1	Gemmatimonas aurantiaca T-27 (bacteria)
GCF_000010325.1	Nitratiruptor sp. SB155-2 (e-proteobacteria)
GCF_000010405.1	Candidatus Vesicomyosocius okutanii (g-proteobacteria)
GCF_000010425.1	Bifidobacterium adolescentis ATCC 15703 (high GC Gram+)
GCF_000010505.1	Porphyromonas gingivalis ATCC 33277 (CFB group bacteria)
GCF_000010525.1	Azorhizobium caulinodans ORS 571 (a-proteobacteria)
GCF_000010585.1	Macrococcus caseolyticus JCSC5402 (firmicutes)
GCF_000010605.1	Streptomyces griseus subsp. griseus NBRC 13350 (high GC Gram+)
GCF_000010625.1	Microcystis aeruginosa NIES-843 (cyanobacteria)
GCF_000010645.1	Candidatus Azobacteroides pseudotrichonymphae genomovar. CFP2 (CFB group bacteria)
GCF_000010665.1	Desulfovibrio magneticus RS-1 (d-proteobacteria)
